id,date,city,province,country,title,url,subject1,nameCorporate,namePersonal,role
['PC000001'],['1925'],['Alexander'],['Manitoba'],['Canada'],"['Methodist church', 'St. Matthews Church, Alexander, Man.']",['http://peel.library.ualberta.ca/postcards/PC000001.html'],['Methodist churches'],"['St. Matthews Church (Alexander, Man.)']",['Touchburn'],['Publisher']
['PC000002'],['1910'],['Alexander'],['Manitoba'],['Canada'],"['Alexander, Man.']",['http://peel.library.ualberta.ca/postcards/PC000002.html'],"['Cityscapes', 'Streets']",[],['Touchburn'],['Publisher']
['PC000003'],['1920'],['Altona'],['Manitoba'],['Canada'],"['Main St. Altona, Man.']",['http://peel.library.ualberta.ca/postcards/PC000003.html'],"['Cityscapes', 'Streets', 'Buildings']",[],[],[]
['PC000004'],['1920'],['Altona'],['Manitoba'],['Canada'],['Greetings from Altona Man'],['http://peel.library.ualberta.ca/postcards/PC000004.html'],"['Buildings', 'Streets', 'Cityscapes']",[],[],[]
['PC000005'],['1910'],['Arden'],['Manitoba'],['Canada'],"['White Mud River,  Arden, Man.', '""The empire upon which the sun never sets.""']",['http://peel.library.ualberta.ca/postcards/PC000005.html'],"['Rivers', 'Valleys', 'National emblems']",[],[],[]
['PC000006'],['[not before 1920]'],['Arden'],['Manitoba'],['Canada'],"['Arden, Man.']",['http://peel.library.ualberta.ca/postcards/PC000006.html'],"['Cityscapes', 'Houses', 'Streets', 'Sawmills']",['Bates'],[],['Photographer']
['PC000007'],['1920?'],['Arden'],['Manitoba'],['Canada'],"['Arden, Man.']",['http://peel.library.ualberta.ca/postcards/PC000007.html'],"['Houses', 'Residential streets', 'Utility poles']",['Bates'],[],['Photographer']
['PC000008'],['1880?'],['Arden'],['Manitoba'],['Canada'],"['Arden, Manitoba, Canada.']",['http://peel.library.ualberta.ca/postcards/PC000008.html'],"['Carriages & coaches', 'Electric lines', 'Commercial streets']",['Rumsey & Co'],[],['Publisher']
['PC000009'],['1910?'],['Arden'],['Manitoba'],['Canada'],"['Arden, Manitoba, Canada.']",['http://peel.library.ualberta.ca/postcards/PC000009.html'],"['Residential streets', 'Houses', 'Utility poles']",['Rumsey & Co'],[],['Publisher']
['PC000010'],['[not before 1920]'],['Arden'],['Manitoba'],['Canada'],['Arden'],['http://peel.library.ualberta.ca/postcards/PC000010.html'],"['General stores', 'Commercial streets', 'Storefronts']",[],[],[]
['PC000011'],['not before 1939'],['Arden'],['Manitoba'],['Canada'],"['Water way, Grand Trunk Bridge South of Arden. Man']",['http://peel.library.ualberta.ca/postcards/PC000011.html'],"['Bridges', 'Bridge construction', 'Grand Trunk Bridge (Arden, Man.)']",[],[],[]
['PC000012'],['after 1930'],['Armstrong'],['Manitoba'],['Canada'],['[Armstrong]'],['http://peel.library.ualberta.ca/postcards/PC000012.html'],"['Winter', 'Residential streets', 'Houses', 'Snow']",[],[],[]
['PC000013'],['not before 1860'],['Augusville'],['Manitoba'],['Canada'],"['Main Street, Angusville, Man.']",['http://peel.library.ualberta.ca/postcards/PC000013.html'],"['Carriages & coaches', 'General stores']",[],[],[]
['PC000014'],['not before 1920'],['Angusville'],['Manitoba'],['Canada'],"['Main St., Angusville, Man.']",['http://peel.library.ualberta.ca/postcards/PC000014.html'],"['Stables', 'Stores & shops', 'Commercial streets']",[],[],[]
['PC000015'],['not before 1918'],['Austin'],['Manitoba'],['Canada'],"['School house, Austin, Man. Can.']",['http://peel.library.ualberta.ca/postcards/PC000015.html'],['Schools'],[],[],[]
['PC000016'],['1912'],['Bagot'],['Manitoba'],['Canada'],"['Bagot, Man.']",['http://peel.library.ualberta.ca/postcards/PC000016.html'],"['Houses', 'Cityscapes']",[],['Bates'],['Photographer']
['PC000017'],['1914'],['Bagot'],['Manitoba'],['Canada'],"['[Bagot, Man.]']",['http://peel.library.ualberta.ca/postcards/PC000017.html'],"['Farms', 'Houses']",[],[],[]
['PC000018'],['1907'],['Baldur'],['Manitoba'],['Canada'],['[Baldur]'],['http://peel.library.ualberta.ca/postcards/PC000018.html'],"['Railroads', 'Cityscapes', 'Commercial streets']",[],[],[]
['PC000019'],['1905'],['Bannerman'],['Manitoba'],['Canada'],['Bannerman Man.'],['http://peel.library.ualberta.ca/postcards/PC000019.html'],['Hotels'],['Edwards Studio'],[],['Publisher']
['PC000020'],['1911'],['Beausejour'],['Manitoba'],['Canada'],['[Beausejour]'],['http://peel.library.ualberta.ca/postcards/PC000020.html'],['Caves'],[],[],[]
['PC000021'],['1911'],['Beausejour'],['Manitoba'],['Canada'],['[Man with team of oxen]'],['http://peel.library.ualberta.ca/postcards/PC000021.html'],"['Plows', 'Oxen']",[],[],[]
['PC000022'],['1911'],['Beausejour'],['Manitoba'],['Canada'],"['Beausejour, Man.']",['http://peel.library.ualberta.ca/postcards/PC000022.html'],['Factories'],[],[],[]
['PC000023'],['1911'],['Beausejour'],['Manitoba'],['Canada'],['[Beausejour Hotel]'],['http://peel.library.ualberta.ca/postcards/PC000023.html'],['Hotels'],"['Beausejour Hotel (Beausejour, Man.)']",[],[]
['PC000024'],['1911'],['Beausejour'],['Manitoba'],['Canada'],['[Man in coat]'],['http://peel.library.ualberta.ca/postcards/PC000024.html'],"['Winter', 'Snow', 'Fur coats']",[],[],[]
['PC000025'],['1911'],['Beausejour'],['Manitoba'],['Canada'],['[Men on frozen river]'],['http://peel.library.ualberta.ca/postcards/PC000025.html'],['Rivers'],[],['Brokenhead River (Man.)'],[]
['PC000026'],['1911'],['Beausejour'],['Manitoba'],['Canada'],['[Group of women]'],['http://peel.library.ualberta.ca/postcards/PC000026.html'],['Women'],[],[],[]
['PC000027'],['1911'],['Beausejour'],['Manitoba'],['Canada'],['[Beausejour]'],['http://peel.library.ualberta.ca/postcards/PC000027.html'],['Employees'],[],[],[]
['PC000028'],['1912'],['Beausejour'],['Manitoba'],['Canada'],['[Two men in suits]'],['http://peel.library.ualberta.ca/postcards/PC000028.html'],"['Men', 'Suits (Clothing)']",[],[],[]
['PC000029'],['1911'],['Beausejour'],['Manitoba'],['Canada'],['[Men on frozen river]'],['http://peel.library.ualberta.ca/postcards/PC000029.html'],['Men'],[],[],[]
['PC000030'],['1911'],['Beausejour'],['Manitoba'],['Canada'],['[Working men in a factory]'],['http://peel.library.ualberta.ca/postcards/PC000030.html'],"['Employees', 'Factories']",[],[],[]
['PC000031'],['1911'],['Beausejour'],['Manitoba'],['Canada'],['[Two men smoking pipes]'],['http://peel.library.ualberta.ca/postcards/PC000031.html'],"['Men', 'Pipes (Smoking)']",[],[],[]
